product_id,name,description,cost_price,selling_price,category,stock_available,units_sold,customer_rating,demand_forecast,optimized_price
38,Electric Unicycle,Compact rideable with balance controls.,280.0,599.99,Transportation,30,15,5,25,570.0
39,Training Jacket,Wind-resistant jacket for outdoor sports.,22.0,54.99,Apparel,300,135,4,160,51.0
40,Portable Monitor,USB-C enabled portable screen for work.,90.0,199.99,Electronics,170,80,4,95,190.0
41,Hybrid Smartwatch,Stylish analog smartwatch with step tracking.,55.0,119.99,Wearables,210,100,4,130,112.0
42,Trekking Backpack,Multi-compartment backpack with hydration support.,35.0,79.99,Outdoor & Sports,180,90,4,110,75.0
43,Voice Assistant Speaker,AI-powered smart home speaker.,38.0,89.99,Home Automation,160,70,4,95,85.0
44,Electric Kick Scooter,Foldable kick scooter with throttle and brake.,140.0,299.99,Transportation,70,35,5,50,280.0
45,Cotton Polo Shirt,Casual polo made from 100% cotton.,9.0,22.99,Apparel,320,140,4,160,21.0
46,Bluetooth Tracker,Attachable tracker for keys or wallet.,12.0,29.99,Electronics,250,120,5,140,28.0
47,Advanced Health Band,Fitness band with blood oxygen and heart monitor.,32.0,74.99,Wearables,200,110,4,130,70.0
48,Camping Cook Set,Portable outdoor cooking kit.,18.0,39.99,Outdoor & Sports,190,90,4,100,37.0
49,Motion Sensor Light,Automatic light for hallways and closets.,10.0,24.99,Home Automation,220,100,4,120,23.0
50,Electric Bike,Pedal-assist e-bike with LCD display.,310.0,699.99,Transportation,40,20,5,35,680.0
51,Sports Cap,UV-protective cap for workouts.,6.0,14.99,Apparel,280,130,4,150,13.5
52,USB-C Hub,Multiport hub with HDMI and SD card reader.,20.0,44.99,Electronics,240,110,4,130,42.0
53,Wellness Ring,Minimalist ring with stress tracking.,28.0,69.99,Wearables,180,90,4,110,66.0
54,Waterproof Tent,2-person tent with quick setup design.,45.0,99.99,Outdoor & Sports,120,60,4,80,92.0
55,Smart Thermostat,WiFi-connected thermostat with app controls.,50.0,124.99,Home Automation,140,70,4,90,118.0
56,Motorized Hoverboard,Self-balancing hoverboard for commuting.,160.0,349.99,Transportation,55,25,5,40,335.0
57,Performance Leggings,Seamless leggings for gym workouts.,12.0,27.99,Apparel,290,150,4,170,26.0
58,Mini Bluetooth Mouse,Portable wireless mouse for laptops.,10.0,24.99,Electronics,260,120,4,140,23.0
59,Smart Fitness Scale,Bluetooth scale with body composition analysis.,22.0,49.99,Wearables,170,90,4,110,47.0
60,Camping Tent Lamp,Rechargeable LED light for tents.,9.0,21.99,Outdoor & Sports,230,110,4,130,20.0
61,Smart Light Dimmer,Wall-mounted dimmer with app integration.,13.0,29.99,Home Automation,200,85,4,105,28.0
62,Electric Ride Board,Longboard with wireless controller.,200.0,449.99,Transportation,45,20,5,35,430.0
63,Sports Jacket,All-weather zip-up jacket for runners.,25.0,59.99,Apparel,310,150,4,180,56.0
64,Bluetooth Adapter,Turn any device wireless with this adapter.,8.0,17.99,Electronics,280,130,4,150,17.0
65,Smart Health Watch,Heart and oxygen monitoring smartwatch.,48.0,109.99,Wearables,190,90,4,120,104.0
66,Hiking Pole Set,Adjustable aluminum trekking poles.,20.0,45.99,Outdoor & Sports,160,80,4,95,42.0
67,Indoor Air Sensor,Air quality monitor with alerts.,35.0,84.99,Home Automation,150,70,4,90,80.0
68,City E-Bike,Efficient electric bike for urban use.,320.0,699.99,Transportation,50,25,5,40,670.0
69,Gym Tank Top,Sleeveless training top with quick-dry fabric.,6.5,15.99,Apparel,330,160,4,180,15.0
70,Wireless Gaming Controller,Compatible with all major platforms.,30.0,69.99,Electronics,210,100,4,125,66.0
71,Fitness Clip Tracker,Clip-on device for step and calorie tracking.,14.0,32.99,Wearables,250,120,4,140,30.0
72,Outdoor Sleeping Bag,All-season sleeping bag with compression sack.,25.0,59.99,Outdoor & Sports,200,95,4,110,57.0
73,Smart Switch Panel,Multi-gang smart switch for home lighting.,17.0,39.99,Home Automation,180,90,4,105,37.0
74,Off-Road Scooter,High-torque scooter for rough terrains.,250.0,529.99,Transportation,60,30,5,50,510.0
75,Casual Hoodie,Fleece-lined hoodie for daily wear.,15.0,34.99,Apparel,290,140,4,160,32.0
76,USB Charging Station,6-port fast charging block.,18.0,39.99,Electronics,260,130,4,150,38.0
77,Sleep Monitoring Band,Lightweight tracker for sleep patterns.,20.0,44.99,Wearables,230,110,4,130,42.0
78,Adventure Tent,Spacious tent for family camping.,55.0,119.99,Outdoor & Sports,100,50,4,70,115.0
79,Motion Detector Alarm,Battery-operated home entry alarm.,14.0,29.99,Home Automation,190,90,4,110,28.0
80,Electric Urban Bike,Sleek design electric bike for city travel.,330.0,749.99,Transportation,40,20,5,35,730.0
81,Compression Shorts,Workout shorts with muscle support.,8.0,18.99,Apparel,280,130,4,150,17.5
82,Portable Bluetooth Receiver,Turn speakers wireless.,11.0,24.99,Electronics,250,120,4,140,23.0
83,Health Monitor Watch,Tracks pulse  sleep and steps.,35.0,79.99,Wearables,200,100,4,120,75.0
84,Trekking Hammock,Lightweight hammock with tree straps.,22.0,49.99,Outdoor & Sports,210,100,4,120,47.0
85,WiFi Security Sensor,Window/door sensor with mobile alerts.,10.0,24.99,Home Automation,230,110,4,130,23.0
86,Electric Trail Bike,Durable e-bike for mountain terrain.,350.0,799.99,Transportation,35,18,5,30,770.0
87,Zip Hoodie,Comfortable hoodie with secure pockets.,18.0,39.99,Apparel,270,140,4,160,37.5
88,Wireless HDMI Dongle,Stream content wirelessly to TVs.,25.0,59.99,Electronics,240,120,4,150,56.0
89,Pro Fitness Band,Advanced health tracking band.,28.0,64.99,Wearables,210,100,4,125,61.0
90,Outdoor Stove Kit,Compact camp stove and pot combo.,30.0,69.99,Outdoor & Sports,150,70,4,90,66.0
91,Digital Thermostat,Touchscreen-enabled programmable unit.,45.0,104.99,Home Automation,160,80,4,100,100.0
92,Folding Commuter Bike,Compact for public transport rides.,220.0,479.99,Transportation,55,25,5,45,460.0
93,Stretch Workout Pants,Soft gym pants with elastic fit.,10.0,22.99,Apparel,310,150,4,170,21.0
94,Wireless Presentation Clicker,Ideal for remote slide control.,15.0,34.99,Electronics,230,110,4,130,33.0
95,Slim Health Watch,Minimal design with sleep tracking.,32.0,74.99,Wearables,200,100,4,120,72.0
96,Inflatable Sleeping Pad,Comfortable sleeping solution for campers.,22.0,49.99,Outdoor & Sports,170,80,4,100,47.0
97,Smart Window Blinds,App-controlled blinds with scheduler.,65.0,149.99,Home Automation,140,70,4,90,140.0
98,Electric Folding Scooter,Portable and rechargeable urban scooter.,270.0,599.99,Transportation,45,22,5,38,580.0
99,Cotton Sweatshirt,Casual wear for everyday use.,12.0,27.99,Apparel,290,140,4,160,26.0
100,Bluetooth Car Adapter,Hands-free calling and music via FM.,17.0,39.99,Electronics,250,120,4,145,38.0
